role_id	variant	version	constant	descriptor
1	TributeBody	1	TRIBUTE_BODY_CODEC_ID	role=TRIBUTE_BODY;version=1;wire=canonical-protobuf-payload-only;fields=1:bytes36-tribute_id-required,2:bytes20-owner-required,3:uint32-worldwide_day-omit-zero,4:bytes32-issuance_amount_minor-required-big-endian,5:uint16-issuance_currency-omit-zero,6:bytes32-nominal_amount_minor-required-big-endian,7:uint16-reference_currency-omit-zero,8:bytes32-tribute_price_minor-required-big-endian,9:bool-exclude_from_intex_issuance-omit-false;rules=ascending-unique-fields,minimal-varints,no-unknown-fields,strict-decode-reencode,identity-day-match;commitment=CE_BODY_COMMITMENT_V1(schema_version=1,payload);stored_body_envelope=excluded
2	FidelityOpening	1	FIDELITY_OPENING_CODEC_ID	role=FIDELITY_OPENING;version=1;record=AuthenticatedOpeningV1(source_kind=1,subject,value,codec_id,opening);subject=u32_be(owner_count)||address20*;owner_count=1..256;owners=strict-ascending-unique;value=u32_be(slot_count)||(slot:B256||value:U256_be)*;slots=fidelity_slot_plan_v1(qualified_start_base=0,active_count_base=1,active_cohorts_base=2,sold_count_base=4,sold_cohorts_base=5,first_qualified_start=8,mapping=keccak256(key||slot32),active_count<=64,sold_count<=64);opening=address20||state_root:B256||u32_be(slot_count)||(slot:B256||value:U256_be)*||u32_be(account_proof_len)||account_proof||u32_be(storage_proof_len)||storage_proof;proof=RETH_ETHEREUM_ACCOUNT_STORAGE_MPT_V1;rules=state_root_equals_checkpoint,exact-contract,exact-slot-plan,strict-decode-reencode
3	OracleOpening	2	ORACLE_OPENING_CODEC_ID	role=ORACLE_OPENING;version=2;record=AuthenticatedOpeningV1(source_kind=2,subject,value,codec_id,opening);subject=u32_be(wwd)||u16_be(iso_count)||u16_be(iso)*;isos=strict-ascending-unique-nonzero-and-contains-840;value=u32_be(slot_count)||(slot:B256||value:U256_be)*;contract=NOD_ADDRESS;slots=nod_entry_price_slots_v1(frozen=30,price=33,mapping=keccak256(key||slot32),price_key=(wwd,iso),isos<=256);price=previous-utc-day-vwap-frozen-at-ready-preparation;missing-or-zero-input=unpriced;opening=address20||state_root:B256||u32_be(slot_count)||(slot:B256||value:U256_be)*||u32_be(account_proof_len)||account_proof||u32_be(storage_proof_len)||storage_proof;proof=RETH_ETHEREUM_ACCOUNT_STORAGE_MPT_V1;rules=state_root_equals_checkpoint,exact-contract,exact-slot-plan,frozen-flag-is-one,strict-decode-reencode
